t_sec,id1_shoulder_pan[mA],id2_shoulder_lift[mA],id3_elbow_flex[mA],id4_wrist_flex[mA],id5_wrist_roll[mA],id6_gripper[mA]
7.551,0.0,0.0,0.0,0.0,0.0,0.0
7.584,0.0,0.0,0.0,0.0,0.0,0.0
7.605,0.0,0.0,0.0,0.0,0.0,0.0
7.626,0.0,0.0,0.0,0.0,0.0,0.0
7.648,0.0,0.0,0.0,0.0,0.0,0.0
7.669,0.0,0.0,0.0,0.0,0.0,0.0
7.703,0.0,0.0,0.0,0.0,0.0,0.0
7.724,0.0,0.0,0.0,0.0,0.0,0.0
7.745,0.0,0.0,0.0,0.0,0.0,0.0
7.766,0.0,0.0,0.0,0.0,0.0,0.0
7.787,0.0,0.0,0.0,0.0,0.0,0.0
7.821,0.0,0.0,0.0,0.0,0.0,0.0
7.842,0.0,0.0,0.0,0.0,0.0,0.0
7.863,0.0,0.0,0.0,0.0,0.0,0.0
7.884,0.0,0.0,0.0,0.0,0.0,0.0
7.905,0.0,0.0,0.0,0.0,0.0,0.0
7.936,0.0,0.0,0.0,0.0,0.0,0.0
7.957,0.0,0.0,0.0,0.0,0.0,0.0
7.978,0.0,0.0,0.0,0.0,0.0,0.0
7.999,0.0,0.0,0.0,0.0,0.0,0.0
8.02,0.0,0.0,0.0,0.0,0.0,0.0
8.057,0.0,0.0,0.0,0.0,0.0,0.0
8.078,0.0,0.0,0.0,0.0,0.0,0.0
8.099,0.0,0.0,0.0,0.0,0.0,0.0
8.12,0.0,0.0,0.0,0.0,0.0,0.0
8.141,0.0,0.0,0.0,0.0,0.0,0.0
8.175,0.0,0.0,0.0,0.0,0.0,0.0
8.196,0.0,0.0,0.0,0.0,0.0,0.0
8.217,0.0,0.0,0.0,0.0,0.0,0.0
8.238,0.0,0.0,0.0,0.0,0.0,0.0
8.259,0.0,0.0,0.0,0.0,0.0,0.0
8.279,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0
8.321,0.0,0.0,0.0,0.0,0.0,0.0
8.342,0.0,0.0,0.0,0.0,0.0,0.0
8.362,0.0,0.0,0.0,0.0,0.0,0.0
8.407,0.0,0.0,0.0,0.0,0.0,0.0
8.428,0.0,0.0,0.0,0.0,0.0,0.0
8.449,0.0,0.0,0.0,0.0,0.0,0.0
8.47,0.0,0.0,0.0,0.0,0.0,0.0
8.503,0.0,0.0,0.0,0.0,0.0,0.0
8.524,0.0,0.0,0.0,0.0,0.0,0.0
8.545,0.0,0.0,0.0,0.0,0.0,0.0
8.566,0.0,0.0,0.0,0.0,0.0,0.0
8.587,0.0,0.0,0.0,0.0,0.0,0.0
8.619,0.0,0.0,0.0,0.0,0.0,0.0
8.64,0.0,0.0,0.0,0.0,0.0,0.0
8.661,0.0,0.0,0.0,0.0,0.0,0.0
8.682,0.0,0.0,0.0,0.0,0.0,0.0
8.703,0.0,0.0,0.0,0.0,0.0,0.0
8.736,0.0,0.0,0.0,0.0,0.0,0.0
8.757,0.0,0.0,0.0,0.0,0.0,0.0
8.778,0.0,0.0,0.0,0.0,0.0,0.0
8.799,0.0,0.0,0.0,0.0,0.0,0.0
8.82,0.0,0.0,0.0,0.0,0.0,0.0
8.853,0.0,0.0,0.0,0.0,0.0,0.0
8.874,0.0,0.0,0.0,0.0,0.0,0.0
8.895,0.0,0.0,0.0,0.0,0.0,0.0
8.916,0.0,0.0,0.0,0.0,0.0,0.0
8.937,0.0,0.0,0.0,0.0,0.0,0.0
8.97,0.0,0.0,0.0,0.0,0.0,0.0
8.991,0.0,0.0,0.0,0.0,0.0,0.0
9.012,0.0,0.0,0.0,0.0,0.0,0.0
9.033,0.0,0.0,0.0,0.0,0.0,0.0
9.054,0.0,0.0,0.0,0.0,0.0,0.0
9.087,0.0,0.0,0.0,0.0,0.0,0.0
9.108,0.0,0.0,0.0,0.0,0.0,0.0
9.129,0.0,0.0,0.0,0.0,0.0,0.0
9.15,0.0,0.0,0.0,0.0,0.0,0.0
9.171,0.0,0.0,0.0,0.0,0.0,0.0
9.203,0.0,0.0,0.0,0.0,0.0,0.0
9.224,0.0,0.0,0.0,0.0,0.0,0.0
9.245,0.0,0.0,0.0,0.0,0.0,0.0
9.266,0.0,0.0,0.0,0.0,0.0,0.0
9.287,0.0,0.0,0.0,0.0,0.0,0.0
9.32,0.0,0.0,0.0,0.0,0.0,0.0
9.341,0.0,0.0,0.0,0.0,0.0,0.0
9.362,0.0,0.0,0.0,0.0,0.0,0.0
9.383,0.0,0.0,0.0,0.0,0.0,0.0
9.404,0.0,0.0,0.0,0.0,0.0,0.0
9.437,0.0,0.0,0.0,0.0,0.0,0.0
9.458,0.0,0.0,0.0,0.0,0.0,0.0
9.479,0.0,0.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0,0.0,0.0
9.52,0.0,0.0,0.0,0.0,0.0,0.0
9.553,0.0,0.0,0.0,0.0,0.0,0.0
9.574,0.0,0.0,0.0,0.0,0.0,0.0
9.595,0.0,0.0,0.0,0.0,0.0,0.0
9.616,0.0,0.0,0.0,0.0,0.0,0.0
9.637,0.0,0.0,0.0,0.0,0.0,0.0
9.67,0.0,0.0,0.0,0.0,0.0,0.0
9.691,0.0,0.0,0.0,0.0,0.0,0.0
9.712,0.0,0.0,0.0,0.0,0.0,0.0
9.733,0.0,0.0,0.0,0.0,0.0,0.0
9.754,0.0,0.0,0.0,0.0,0.0,0.0
9.788,0.0,0.0,0.0,0.0,0.0,0.0
9.809,0.0,0.0,0.0,0.0,0.0,0.0
9.83,0.0,0.0,0.0,0.0,0.0,0.0
9.851,0.0,0.0,0.0,0.0,0.0,0.0
9.872,0.0,0.0,0.0,0.0,0.0,0.0
9.905,0.0,0.0,0.0,0.0,0.0,0.0
9.926,0.0,0.0,0.0,0.0,0.0,0.0
9.947,0.0,0.0,0.0,0.0,0.0,0.0
9.968,0.0,0.0,0.0,0.0,0.0,0.0
9.989,0.0,0.0,0.0,0.0,0.0,0.0
10.022,0.0,0.0,0.0,0.0,0.0,0.0
10.043,0.0,0.0,0.0,0.0,0.0,0.0
10.064,0.0,0.0,0.0,0.0,0.0,0.0
10.085,0.0,0.0,0.0,0.0,0.0,0.0
10.106,0.0,0.0,0.0,0.0,0.0,0.0
10.139,0.0,0.0,0.0,0.0,0.0,0.0
10.16,0.0,0.0,0.0,0.0,0.0,0.0
10.181,0.0,0.0,0.0,0.0,0.0,0.0
10.202,0.0,0.0,0.0,0.0,0.0,0.0
10.223,0.0,0.0,0.0,0.0,0.0,0.0
10.256,0.0,0.0,0.0,0.0,0.0,0.0
10.277,0.0,0.0,0.0,0.0,0.0,0.0
10.298,0.0,0.0,0.0,0.0,0.0,0.0
10.319,0.0,0.0,0.0,0.0,0.0,0.0
10.34,0.0,0.0,0.0,0.0,0.0,0.0
10.373,0.0,0.0,0.0,0.0,0.0,0.0
10.394,0.0,0.0,0.0,0.0,0.0,0.0
10.415,0.0,0.0,0.0,0.0,0.0,0.0
10.436,0.0,0.0,0.0,0.0,0.0,0.0
10.457,0.0,0.0,0.0,0.0,0.0,0.0
10.49,0.0,0.0,0.0,0.0,0.0,0.0
10.511,0.0,0.0,0.0,0.0,0.0,0.0
10.532,0.0,0.0,0.0,0.0,0.0,0.0
10.553,0.0,0.0,0.0,0.0,0.0,0.0
10.574,0.0,0.0,0.0,0.0,0.0,0.0
10.608,0.0,0.0,0.0,0.0,0.0,0.0
10.629,0.0,0.0,0.0,0.0,0.0,0.0
10.65,0.0,0.0,0.0,0.0,0.0,0.0
10.671,0.0,0.0,0.0,0.0,0.0,0.0
10.692,0.0,0.0,0.0,0.0,0.0,0.0
10.724,0.0,0.0,0.0,0.0,0.0,0.0
10.745,0.0,0.0,0.0,0.0,0.0,0.0
10.766,0.0,0.0,0.0,0.0,0.0,0.0
10.787,0.0,0.0,0.0,0.0,0.0,0.0
10.808,0.0,0.0,0.0,0.0,0.0,0.0
10.841,0.0,0.0,0.0,0.0,0.0,0.0
10.862,0.0,0.0,0.0,0.0,0.0,0.0
10.883,0.0,0.0,0.0,0.0,0.0,0.0
10.904,0.0,0.0,0.0,0.0,0.0,0.0
10.925,0.0,0.0,0.0,0.0,0.0,0.0
10.957,0.0,0.0,0.0,0.0,0.0,0.0
10.978,0.0,0.0,0.0,0.0,0.0,0.0
10.999,0.0,0.0,0.0,0.0,0.0,0.0
11.021,0.0,0.0,0.0,0.0,0.0,0.0
11.042,0.0,0.0,0.0,0.0,0.0,0.0
11.074,0.0,0.0,0.0,0.0,0.0,0.0
11.095,0.0,0.0,0.0,0.0,0.0,0.0
11.116,0.0,0.0,0.0,0.0,0.0,0.0
11.137,0.0,0.0,0.0,0.0,0.0,0.0
11.158,0.0,0.0,0.0,0.0,0.0,0.0
11.191,0.0,0.0,0.0,0.0,0.0,0.0
11.212,0.0,0.0,0.0,0.0,0.0,0.0
11.233,0.0,0.0,0.0,0.0,0.0,0.0
11.254,0.0,0.0,0.0,0.0,0.0,0.0
11.275,0.0,0.0,0.0,0.0,0.0,0.0
11.307,0.0,0.0,0.0,0.0,0.0,0.0
11.328,0.0,0.0,0.0,0.0,0.0,0.0
11.349,0.0,0.0,0.0,0.0,0.0,0.0
11.37,0.0,0.0,0.0,0.0,0.0,0.0
11.391,0.0,0.0,0.0,0.0,0.0,0.0
11.424,0.0,0.0,0.0,0.0,0.0,0.0
11.445,0.0,0.0,0.0,0.0,0.0,0.0
11.466,0.0,0.0,0.0,0.0,0.0,0.0
11.487,0.0,0.0,0.0,0.0,0.0,0.0
11.508,0.0,0.0,0.0,0.0,0.0,0.0
11.541,0.0,0.0,0.0,0.0,0.0,0.0
11.562,0.0,0.0,0.0,0.0,0.0,0.0
