t_sec,id1_shoulder_pan[%],id2_shoulder_lift[%],id3_elbow_flex[mA],id4_wrist_flex[mA],id5_wrist_roll[mA],id6_gripper[mA]
7.559,0.0,0.0,0.0,0.0,0.0,0.0
7.594,0.0,0.0,0.0,0.0,0.0,0.0
7.615,0.0,0.0,0.0,0.0,0.0,0.0
7.636,0.0,0.2,0.0,0.0,0.0,0.0
7.657,0.0,0.4,0.0,0.0,0.0,0.0
7.678,0.0,0.3,0.0,0.0,0.0,0.0
7.712,0.0,0.0,0.0,0.0,0.0,0.0
7.733,0.0,-0.2,0.0,0.0,0.0,0.0
7.754,0.0,-0.3,0.0,0.0,0.0,0.0
7.775,0.0,-0.2,0.0,0.0,0.0,0.0
7.796,0.0,-0.2,0.0,0.0,0.0,0.0
7.829,-0.1,-0.1,0.0,0.0,0.0,0.0
7.85,-0.1,-0.1,0.0,0.0,0.0,0.0
7.871,-0.1,-0.1,0.0,0.0,0.0,0.0
7.892,0.0,-0.1,0.0,0.0,0.0,0.0
7.913,0.1,-0.1,0.0,0.0,0.0,0.0
7.946,0.3,0.0,0.0,0.0,0.0,0.0
7.967,0.7,0.1,0.0,0.0,0.0,0.0
7.988,0.8,0.3,0.0,0.0,0.0,0.0
8.009,0.8,0.4,0.0,0.0,0.0,0.0
8.03,0.6,0.6,0.0,0.0,0.0,0.0
8.065,0.4,1.2,0.0,0.0,0.0,0.0
8.086,0.2,1.4,0.0,0.0,0.0,0.0
8.107,0.0,1.2,0.0,0.0,0.0,0.0
8.128,-0.1,1.0,0.0,0.0,0.0,0.0
8.149,-0.1,0.7,0.0,0.0,0.0,0.0
8.182,-0.3,0.5,0.0,0.0,0.0,0.0
8.203,-0.3,0.4,0.0,0.0,0.0,0.0
8.224,-0.3,0.3,0.0,0.0,0.0,0.0
8.244,-0.3,0.2,0.0,0.0,0.0,0.0
8.265,-0.3,0.1,0.0,0.0,0.0,0.0
8.295,-0.3,0.1,0.0,0.0,0.0,0.0
8.316,-0.2,0.0,0.0,0.0,0.0,0.0
8.337,-0.2,0.0,0.0,0.0,0.0,0.0
8.358,-0.1,0.0,0.0,0.0,0.0,0.0
8.379,-0.1,0.0,0.0,0.0,0.0,0.0
8.411,-0.1,0.0,0.0,0.0,0.0,0.0
8.432,0.0,0.0,0.0,0.0,0.0,0.0
8.453,0.0,0.0,0.0,0.0,0.0,0.0
8.474,0.0,0.0,0.0,0.0,0.0,0.0
8.495,0.0,0.0,0.0,0.0,0.0,0.0
8.528,0.0,0.0,0.0,0.0,0.0,0.0
8.549,-0.1,0.0,0.0,0.0,0.0,0.0
8.57,-0.1,0.0,0.0,0.0,0.0,0.0
8.591,-0.1,0.0,0.0,0.0,0.0,0.0
8.612,-0.1,0.0,0.0,0.0,0.0,0.0
8.643,-0.1,0.0,0.0,0.0,0.0,0.0
8.664,0.0,0.0,0.0,0.0,0.0,0.0
8.685,0.0,0.0,0.0,0.0,0.0,0.0
8.706,0.0,0.0,0.0,0.0,0.0,0.0
8.727,0.0,0.0,0.0,0.0,0.0,0.0
8.759,0.1,0.0,0.0,0.0,0.0,0.0
8.78,0.0,0.0,0.0,0.0,0.0,0.0
8.801,0.0,0.0,0.0,0.0,0.0,0.0
8.822,0.0,0.0,0.0,0.0,0.0,0.0
8.843,0.1,0.0,0.0,0.0,0.0,0.0
8.874,0.0,0.0,0.0,0.0,0.0,0.0
8.894,0.0,0.0,0.0,0.0,0.0,0.0
8.915,0.0,0.0,0.0,0.0,0.0,0.0
8.937,0.0,0.0,0.0,0.0,0.0,0.0
8.958,0.0,0.0,0.0,0.0,0.0,0.0
8.989,0.0,0.0,0.0,0.0,0.0,0.0
9.01,0.0,0.1,0.0,0.0,0.0,0.0
9.031,-0.1,0.2,0.0,0.0,0.0,0.0
9.052,-0.2,0.2,0.0,0.0,0.0,0.0
9.073,-0.2,0.2,0.0,0.0,0.0,0.0
9.104,-0.2,0.6,0.0,0.0,0.0,0.0
9.125,-0.2,1.2,0.0,0.0,0.0,0.0
9.146,-0.2,2.3,0.0,0.0,0.0,0.0
9.167,-0.3,3.5,0.0,0.0,0.0,0.0
9.188,-0.3,4.8,0.0,0.0,0.0,0.0
9.221,0.0,6.9,0.0,0.0,0.0,0.0
9.242,0.2,8.3,0.0,0.0,0.0,0.0
9.263,0.2,9.6,0.0,0.0,0.0,0.0
9.284,0.1,10.5,0.0,0.0,0.0,0.0
9.305,0.1,10.8,0.0,0.0,0.0,0.0
9.337,0.0,10.3,0.0,0.0,0.0,0.0
9.358,0.0,9.4,0.0,0.0,0.0,0.0
9.379,0.0,8.3,0.0,0.0,0.0,0.0
9.4,0.0,7.2,0.0,0.0,0.0,0.0
9.421,0.0,6.1,0.0,0.0,0.0,0.0
9.454,0.0,4.7,0.0,0.0,0.0,0.0
9.475,0.0,3.9,0.0,0.0,0.0,0.0
9.496,0.0,3.2,0.0,0.0,0.0,0.0
9.517,0.0,2.6,0.0,0.0,0.0,0.0
9.538,0.0,2.2,0.0,0.0,0.0,0.0
9.571,0.0,1.6,0.0,0.0,0.0,0.0
9.592,0.0,1.3,0.0,0.0,0.0,0.0
9.613,0.0,1.0,0.0,0.0,0.0,0.0
9.634,0.0,0.8,0.0,0.0,0.0,0.0
9.655,0.0,0.6,0.0,0.0,0.0,0.0
9.688,0.0,0.4,0.0,0.0,0.0,0.0
9.709,0.0,0.3,0.0,0.0,0.0,0.0
9.73,-0.1,0.2,0.0,0.0,0.0,0.0
9.751,-0.1,0.2,0.0,0.0,0.0,0.0
9.772,-0.1,0.1,0.0,0.0,0.0,0.0
9.805,-0.1,0.0,0.0,0.0,0.0,0.0
9.826,-0.1,0.0,0.0,0.0,0.0,0.0
9.847,-0.1,0.0,0.0,0.0,0.0,0.0
9.868,-0.1,0.0,0.0,0.0,0.0,0.0
9.889,0.0,0.0,0.0,0.0,0.0,0.0
9.921,0.0,0.0,0.0,0.0,0.0,0.0
9.942,0.0,0.0,0.0,0.0,0.0,0.0
9.963,0.0,0.0,0.0,0.0,0.0,0.0
9.984,0.0,0.0,0.0,0.0,0.0,0.0
10.006,0.0,0.0,0.0,0.0,0.0,0.0
10.038,0.0,0.0,0.0,0.0,0.0,0.0
10.059,0.0,0.0,0.0,0.0,0.0,0.0
10.08,0.0,-0.1,0.0,0.0,0.0,0.0
10.101,-0.1,-0.2,0.0,0.0,0.0,0.0
10.122,-0.1,-0.2,0.0,0.0,0.0,0.0
10.155,-0.1,-0.2,0.0,0.0,0.0,0.0
10.176,-0.1,-0.2,0.0,0.0,0.0,0.0
10.197,-0.1,-0.2,0.0,0.0,0.0,0.0
10.218,-0.1,-0.2,0.0,0.0,0.0,0.0
10.239,-0.1,-0.1,0.0,0.0,0.0,0.0
10.273,0.0,0.0,0.0,0.0,0.0,0.0
10.294,0.0,0.1,0.0,0.0,0.0,0.0
10.315,0.0,0.1,0.0,0.0,0.0,0.0
10.336,0.0,0.1,0.0,0.0,0.0,0.0
10.357,0.0,0.1,0.0,0.0,0.0,0.0
10.39,0.0,0.0,0.0,0.0,0.0,0.0
10.411,-0.1,0.0,0.0,0.0,0.0,0.0
10.432,-0.1,0.0,0.0,0.0,0.0,0.0
10.453,-0.2,0.0,0.0,0.0,0.0,0.0
10.474,-0.2,0.0,0.0,0.0,0.0,0.0
10.508,-0.2,0.0,0.0,0.0,0.0,0.0
10.529,-0.1,0.0,0.0,0.0,0.0,0.0
10.55,-0.1,0.0,0.0,0.0,0.0,0.0
10.571,-0.1,0.0,0.0,0.0,0.0,0.0
10.592,-0.1,0.0,0.0,0.0,0.0,0.0
10.625,-0.1,-0.1,0.0,0.0,0.0,0.0
10.646,-0.1,-0.1,0.0,0.0,0.0,0.0
10.667,0.0,-0.1,0.0,0.0,0.0,0.0
10.688,0.0,-0.1,0.0,0.0,0.0,0.0
10.709,0.0,-0.1,0.0,0.0,0.0,0.0
10.742,0.0,-0.4,0.0,0.0,0.0,0.0
10.763,0.0,-0.4,0.0,0.0,0.0,0.0
10.784,0.0,-0.4,0.0,0.0,0.0,0.0
10.805,0.0,-0.3,0.0,0.0,0.0,0.0
10.826,0.0,-0.2,0.0,0.0,0.0,0.0
10.86,0.0,-0.1,0.0,0.0,0.0,0.0
10.881,0.0,0.0,0.0,0.0,0.0,0.0
10.902,0.0,0.0,0.0,0.0,0.0,0.0
10.923,0.0,0.1,0.0,0.0,0.0,0.0
10.944,0.0,0.1,0.0,0.0,0.0,0.0
10.976,0.0,0.1,0.0,0.0,0.0,0.0
10.997,0.0,0.0,0.0,0.0,0.0,0.0
11.018,0.0,0.0,0.0,0.0,0.0,0.0
11.039,0.0,0.0,0.0,0.0,0.0,0.0
11.06,0.0,0.0,0.0,0.0,0.0,0.0
11.093,0.0,0.0,0.0,0.0,0.0,0.0
11.114,0.0,0.0,0.0,0.0,0.0,0.0
11.135,0.0,0.0,0.0,0.0,0.0,0.0
11.156,0.0,0.0,0.0,0.0,0.0,0.0
11.177,0.0,0.0,0.0,0.0,0.0,0.0
11.21,0.0,0.0,0.0,0.0,0.0,0.0
11.231,0.0,0.0,0.0,0.0,0.0,0.0
11.252,0.0,0.0,0.0,0.0,0.0,0.0
11.273,0.1,0.0,0.0,0.0,0.0,0.0
11.294,0.0,-0.1,0.0,0.0,0.0,0.0
11.327,0.0,-0.6,0.0,0.0,0.0,0.0
11.348,0.0,-1.1,0.0,0.0,0.0,0.0
11.369,0.0,-1.5,0.0,0.0,0.0,0.0
11.39,0.1,-1.7,0.0,0.0,0.0,0.0
11.411,0.1,-1.6,0.0,0.0,0.0,0.0
11.445,0.0,-1.1,0.0,0.0,0.0,0.0
11.466,-0.1,-0.8,0.0,0.0,0.0,0.0
